src_Table.ColumnName,src_DefaultValue,src_IsNullable,src_DataType,src_Length,src_Precesion,dst_Table.ColumnName,dst_DefaultValue,dst_IsNullable,dst_DataType,dst_Length,dst_Precesion,Comment
'ACHInterMediate.TransmissionTime',None,'YES','datetime',None,None,'ACHInterMediate.TransmissionTime',None,'NO','datetime',None,None,Column mismatch
'ACHInterMediate.AlertFlag','((1))','YES','tinyint',None,3,'ACHInterMediate.AlertFlag',None,'YES','tinyint',None,3,Column mismatch
'ACHInterMediate.RowCreatedDate','(getdate())','YES','datetime',None,None,'ACHInterMediate.RowCreatedDate',None,'YES','datetime',None,None,Column mismatch
'ACHPIIJSONRequest.PIIRequestId',None,'YES','decimal',None,19,'ACHPIIJSONRequest.PIIRequestId',None,'NO','decimal',None,19,Column mismatch
'ACHPIIJSONResponse.SPTookTime',None,'YES','varchar',10,None,,,,,,,Missing column
'AlertNotificationLog_Processed.ModSkey',None,'NO','decimal',None,4,'AlertNotificationLog_Processed.ModSkey',None,'NO','decimal',None,19,Column mismatch
'Auth_MDS1.RowCreatedDate','(getdate())','YES','datetime',None,None,'Auth_MDS1.RowCreatedDate',None,'YES','datetime',None,None,Column mismatch
'Auth_primary.PostTime',None,'YES','datetime',None,None,'Auth_primary.PostTime',None,'NO','datetime',None,None,Column mismatch
'Auth_primary.RowChangedDate','(getdate())','YES','datetime',None,None,'Auth_primary.RowChangedDate',None,'YES','datetime',None,None,Column mismatch
'Auth_primary.RowCreatedDate','(getdate())','YES','datetime',None,None,'Auth_primary.RowCreatedDate',None,'YES','datetime',None,None,Column mismatch
'Auth_primary_old.PostTime',None,'NO','datetime',None,None,'Auth_primary_old.PostTime',None,'YES','datetime',None,None,Column mismatch
'Auth_primary_old.ChangeVersion',None,'NO','timestamp',None,None,,,,,,,Missing column
'auth_secondary.RowCreatedDate','(getdate())','YES','datetime',None,None,'auth_secondary.RowCreatedDate',None,'YES','datetime',None,None,Column mismatch
'CBLog.LogTime',None,'YES','datetime',None,None,'CBLog.LogTime',None,'NO','datetime',None,None,Column mismatch
'CBLog.RowCreatedDate','(getdate())','YES','datetime',None,None,'CBLog.RowCreatedDate',None,'YES','datetime',None,None,Column mismatch
'ccard_primary.PostTime',None,'YES','datetime',None,None,'ccard_primary.PostTime',None,'NO','datetime',None,None,Column mismatch
'ccard_primary.RowCreatedDate','(getdate())','YES','datetime',None,None,'ccard_primary.RowCreatedDate',None,'YES','datetime',None,None,Column mismatch
'CCard_Primary_Verify.TranId',None,'NO','decimal',None,19,'CCard_Primary_Verify.TranId',None,'NO','numeric',None,19,Column mismatch
'CCard_Primary_Verify.TranRef',None,'YES','decimal',None,19,'CCard_Primary_Verify.TranRef',None,'YES','numeric',None,19,Column mismatch
'CCard_Primary_Verify.RevTgt',None,'YES','decimal',None,19,'CCard_Primary_Verify.RevTgt',None,'YES','numeric',None,19,Column mismatch
'CCard_Primary_Verify.tranorig',None,'YES','decimal',None,19,'CCard_Primary_Verify.tranorig',None,'YES','numeric',None,19,Column mismatch
'CCard_Primary_Verify.AuthTranId',None,'YES','decimal',None,19,'CCard_Primary_Verify.AuthTranId',None,'YES','numeric',None,19,Column mismatch
'CCard_Primary_Verify.TransactionLifeCycleUniqueID',None,'YES','decimal',None,19,'CCard_Primary_Verify.TransactionLifeCycleUniqueID',None,'YES','numeric',None,19,Column mismatch
'CCard_Primary_Verify.CaseID',None,'YES','decimal',None,19,'CCard_Primary_Verify.CaseID',None,'YES','numeric',None,19,Column mismatch
'CCard_Primary_Verify.MethodName',None,'YES','decimal',None,19,'CCard_Primary_Verify.MethodName',None,'YES','numeric',None,19,Column mismatch
'CCard_Primary_Verify.PymtScheduleId',None,'YES','decimal',None,19,'CCard_Primary_Verify.PymtScheduleId',None,'YES','numeric',None,19,Column mismatch
'CCard_Primary_Verify.OrgrtgtTranid',None,'YES','decimal',None,19,'CCard_Primary_Verify.OrgrtgtTranid',None,'YES','numeric',None,19,Column mismatch
'CCard_Primary_Verify.MergeJobID',None,'YES','decimal',None,19,'CCard_Primary_Verify.MergeJobID',None,'YES','numeric',None,19,Column mismatch
'CCard_Primary_Verify.MergeOrgTranID',None,'YES','decimal',None,19,'CCard_Primary_Verify.MergeOrgTranID',None,'YES','numeric',None,19,Column mismatch
'ccard_secondary.RowCreatedDate','(getdate())','YES','datetime',None,None,'ccard_secondary.RowCreatedDate',None,'YES','datetime',None,None,Column mismatch
'CCardTransactionMC.RowCreatedDate','(getdate())','YES','datetime',None,None,'CCardTransactionMC.RowCreatedDate',None,'YES','datetime',None,None,Column mismatch
'CPS_Environment.MiniPODNumber',None,'YES','int',None,10,,,,,,,Missing column
'CPS_Environment.MiniPodID',None,'YES','varchar',64,None,,,,,,,Missing column
'CurrentBalanceAuditPS.RowCreatedDate','(getdate())','YES','datetime',None,None,'CurrentBalanceAuditPS.RowCreatedDate',None,'YES','datetime',None,None,Column mismatch
'LogArTxnAddl.ARTxnBusinessDate',None,'YES','datetime',None,None,'LogArTxnAddl.ARTxnBusinessDate',None,'NO','datetime',None,None,Column mismatch
'LogArTxnAddl.RowCreatedDate','(getdate())','YES','datetime',None,None,'LogArTxnAddl.RowCreatedDate',None,'YES','datetime',None,None,Column mismatch
'NonMonetaryLog.UCTableUniqueId',None,'YES','decimal',None,19,'NonMonetaryLog.UCTableUniqueId',None,'YES','numeric',None,19,Column mismatch
'RewardNotificationLog_Processed.ModSkey',None,'NO','decimal',None,4,'RewardNotificationLog_Processed.ModSkey',None,'NO','decimal',None,19,Column mismatch
'TCIVRRequest.RequestDate',None,'YES','datetime',None,None,'TCIVRRequest.RequestDate',None,'NO','datetime',None,None,Column mismatch
'TCIVRRequest.PartitionDate','(getdate())','NO','datetime',None,None,,,,,,,Missing column
'TCIVRRequest.ChangeVersion',None,'NO','timestamp',None,None,,,,,,,Missing column
'trans_in_acct.RowCreatedDate','(getdate())','YES','datetime',None,None,'trans_in_acct.RowCreatedDate',None,'YES','datetime',None,None,Column mismatch
'TxnQualifiedForPromotionalRule.RowCreatedDate','(getdate())','YES','datetime',None,None,,,,,,,Missing column
'UpdateCallRequest.ModSkey',None,'NO','decimal',None,4,'UpdateCallRequest.ModSkey',None,'NO','decimal',None,19,Column mismatch
,,,,,,'Auth_MDS1.Posttime_MDS1','(getdate())','NO','datetime',None,None,Extra column
,,,,,,'Auth_primary_old.OrgCoreAuthTranID',None,'YES','decimal',None,19,Extra column
,,,,,,'Auth_primary_old.UniqueTransactionUUID',None,'YES','varchar',64,None,Extra column
,,,,,,'Auth_primary_old.TokenUUID',None,'YES','varchar',64,None,Extra column
,,,,,,'Auth_primary_old.RowChangedDate','(getdate())','YES','datetime',None,None,Extra column
,,,,,,'Auth_primary_old.RowCreatedDate','(getdate())','YES','datetime',None,None,Extra column
,,,,,,'auth_secondary.PostTime_Sec','(getdate())','NO','datetime',None,None,Extra column
,,,,,,'CCard_Primary_old.MergeActivityFlag',None,'YES','tinyint',None,3,Extra column
,,,,,,'CCard_Primary_old.OrgrtgtTranid',None,'YES','decimal',None,19,Extra column
,,,,,,'CCard_Primary_old.PODID',None,'YES','tinyint',None,3,Extra column
,,,,,,'CCard_Primary_old.MergeJobID',None,'YES','decimal',None,19,Extra column
,,,,,,'CCard_Primary_old.MergeOrgTranUUID',None,'YES','varchar',64,None,Extra column
,,,,,,'CCard_Primary_old.MergeOrgTranID',None,'YES','decimal',None,19,Extra column
,,,,,,'CCard_Primary_old.ExcludeFromPDF',None,'YES','tinyint',None,3,Extra column
,,,,,,'CCard_Primary_old.OriginalPosttime',None,'YES','datetime',None,None,Extra column
,,,,,,'CCard_Primary_old.OriginalTrantime',None,'YES','datetime',None,None,Extra column
,,,,,,'CCard_Primary_old.FXFeeAmount',None,'YES','money',None,19,Extra column
,,,,,,'CCard_Primary_old.SecondaryClaimID',None,'YES','varchar',64,None,Extra column
,,,,,,'CCard_Primary_old.RowCreatedDate','(getdate())','YES','datetime',None,None,Extra column
,,,,,,'CCard_Primary_old.RowChangedDate','(getdate())','YES','datetime',None,None,Extra column
,,,,,,'CCard_Primary_old.ProductTransferJobID',None,'YES','decimal',None,19,Extra column
,,,,,,'CCard_Primary_Verify.ExcludeFromPDF',None,'YES','tinyint',None,3,Extra column
,,,,,,'CCard_Primary_Verify.OriginalTrantime',None,'YES','datetime',None,None,Extra column
,,,,,,'CCard_Primary_Verify.OriginalPosttime',None,'YES','datetime',None,None,Extra column
,,,,,,'CCard_Primary_Verify.FXFeeAmount',None,'YES','money',None,19,Extra column
,,,,,,'CCard_Primary_Verify.SecondaryClaimID',None,'YES','varchar',64,None,Extra column
,,,,,,'CCard_Primary_Verify.ProductTransferJobID',None,'YES','numeric',None,19,Extra column
,,,,,,'CCard_Primary_Verify.RowChangedDate',None,'YES','datetime',None,None,Extra column
,,,,,,'CCard_Primary_Verify.RowCreatedDate',None,'YES','datetime',None,None,Extra column
,,,,,,'ccard_secondary.PostTime_Sec','(getdate())','NO','datetime',None,None,Extra column
,,,,,,'CCardTransactionMC.PostTime_MC','(getdate())','NO','datetime',None,None,Extra column
,,,,,,'trans_in_acct.Posttime','(getdate())','NO','datetime',None,None,Extra column
